date,n1,n2,n3,n4,n5,s1,s2
20210402,4,21,34,40,47,2,5
20210406,2,21,37,38,50,7,8
20210409,2,8,32,35,44,8,11
20210413,16,20,31,47,50,2,8
20210416,6,11,29,40,48,5,9
20210420,5,17,28,41,46,10,11
20210423,3,14,15,19,29,2,8
20210427,13,14,24,35,49,1,10
20210430,1,16,24,28,46,2,11
20210504,3,10,13,28,46,4,11
20210507,14,22,33,38,47,8,9
20210511,14,25,34,43,46,5,6
20210514,6,16,18,29,38,6,11
20210518,5,13,38,39,40,4,12
20210521,2,9,13,15,35,3,10
20210525,1,21,26,30,38,2,8
20210528,11,13,16,34,40,1,12
20210601,3,10,26,35,44,6,7
20210604,7,20,36,40,46,2,4
20210608,2,11,26,36,47,7,9
20210611,9,17,21,33,39,7,11
20210615,11,21,26,30,31,2,3
20210618,11,20,27,30,41,3,5
20210622,6,24,26,27,41,3,8
20210625,1,29,30,33,36,3,12
20210629,6,12,20,24,48,5,6
20210702,9,14,29,38,49,7,10
20210706,2,5,21,27,42,9,11
20210709,6,19,36,37,49,4,11
20210713,5,6,8,11,22,3,4
20210716,5,16,42,47,49,3,11
20210720,3,12,19,41,48,6,9
20210723,23,24,26,34,50,2,4
20210727,5,9,19,21,25,10,12
20210730,10,23,33,35,37,5,10
20210803,17,21,23,45,46,7,11
20210806,7,14,21,26,32,4,12
20210810,9,37,47,48,49,2,7
20210813,6,12,44,47,49,8,12
20210817,12,31,41,42,47,4,6
20210820,3,9,19,20,23,9,11
20210824,19,21,36,44,50,3,10
20210827,2,3,31,46,50,8,12
20210831,5,13,17,32,43,2,10
20210903,5,7,13,29,35,3,7
20210907,7,19,35,42,43,7,9
20210910,1,6,7,18,28,2,8
20210914,12,18,35,38,45,2,8
20210917,5,7,8,10,34,1,9
20210921,20,25,26,30,38,2,8
20210924,2,12,20,27,41,10,12
20210928,6,7,12,33,39,1,7
20211001,1,15,19,26,48,6,12
20211005,11,13,14,36,45,7,9
20211008,1,10,23,42,46,3,5
20211012,6,13,22,45,49,10,11
20211015,21,26,31,34,49,2,5
20211019,4,20,36,40,41,1,6
20211022,12,17,22,33,39,2,12
20211026,12,15,20,42,44,1,2
20211029,10,15,28,32,49,3,9
20211102,2,3,17,29,43,1,4
20211105,2,12,25,30,41,8,11
20211109,17,25,26,33,36,1,8
20211112,2,9,15,47,50,6,9
20211116,9,19,21,32,36,3,4
20211119,22,26,38,47,50,2,6
20211123,17,21,36,42,46,7,10
20211126,1,20,41,42,50,3,7
20211130,19,20,26,33,43,1,4
20211203,21,22,29,32,46,9,10
20211207,22,31,38,46,47,7,11
20211210,11,21,33,38,42,2,8
20211214,19,21,37,47,48,3,6
20211217,1,2,15,30,35,2,7
20211221,12,17,21,34,38,2,3
20211224,2,26,28,34,41,5,10
20211228,4,6,15,17,29,9,12
20211231,7,22,25,43,49,6,7
20220104,18,28,35,36,41,6,11
20220107,2,14,37,44,50,7,11
20220111,4,23,32,33,44,9,12
20220114,6,17,25,31,46,9,12
20220118,3,12,19,24,30,2,5
20220121,5,14,35,36,39,7,12
20220125,6,16,18,39,47,2,4
20220128,10,25,29,34,45,9,10
20220201,1,19,36,38,49,6,9
20220204,3,25,38,43,49,3,7
20220208,6,20,34,37,43,7,10
20220211,13,18,38,42,45,7,11
20220215,9,20,31,33,44,2,12
20220218,25,38,41,43,50,6,10
20220222,5,9,14,26,32,3,7
20220225,10,13,24,30,42,1,5
20220301,8,24,26,39,42,3,5
20220304,6,20,40,42,43,10,12
20220308,12,18,21,25,31,2,9
20220311,12,19,22,23,48,2,6
20220315,1,2,12,19,26,2,8
20220318,1,9,14,17,43,6,12
20220322,7,17,21,29,40,8,11
20220325,6,10,24,27,29,5,12
20220329,8,11,33,42,43,6,11
20220401,2,7,21,31,45,4,10
20220405,1,11,13,24,49,5,6
20220408,1,15,16,38,45,4,11
20220412,21,30,31,35,47,2,10
20220415,6,24,30,32,48,5,6
20220419,2,12,17,28,46,6,10
20220422,6,11,21,35,36,1,9
20220426,4,25,28,34,45,8,11
20220429,10,11,20,36,37,3,7
20220503,8,20,26,47,48,3,8
20220506,3,8,18,24,40,3,11
20220510,3,25,27,28,29,4,9
20220513,3,11,17,45,48,4,8
20220517,5,28,30,48,49,5,11
20220520,8,22,23,32,50,3,9
20220524,10,13,27,36,37,2,10
20220527,15,23,28,34,48,3,5
20220531,3,10,13,42,49,3,9
20220603,12,28,29,34,48,9,11
20220607,6,16,17,25,31,2,6
20220610,17,26,36,37,40,9,12
20220614,2,7,27,34,40,3,11
20220617,19,21,22,31,38,7,11
20220621,6,23,36,39,47,8,10
20220624,10,17,28,44,50,8,12
20220628,10,35,42,47,48,2,11
20220701,6,18,24,34,46,3,12
20220705,7,10,25,45,48,3,6
20220708,28,31,35,43,46,4,7
20220712,14,18,24,25,50,6,11
